Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.78349	2.77258	5.31401	96.1998s	4.78386e-06	2023-04-10 13:19:02
2	2.76793	2.77468	6.28019	95.0119s	4.17283e-06	2023-04-10 13:20:39
3	2.7653	2.76851	3.86473	99.7321s	3.27254e-06	2023-04-10 13:22:22
4	2.7646	2.76736	6.76329	97.8722s	2.23868e-06	2023-04-10 13:24:02
5	2.7518	2.76693	7.24638	99.6827s	1.25e-06	2023-04-10 13:25:45
6	2.75861	2.75694	6.28019	97.9578s	4.77458e-07	2023-04-10 13:27:26
7	2.74745	2.76302	6.76329	97.7671s	5.4631e-08	2023-04-10 13:29:06
8	2.75171	2.75617	7.24638	95.5424s	5.4631e-08	2023-04-10 13:30:43
9	2.74295	2.75948	5.7971	95.8071s	4.77458e-07	2023-04-10 13:32:21
10	2.74954	2.75694	6.28019	96.8547s	1.25e-06	2023-04-10 13:33:59
11	2.74868	2.75247	5.7971	99.3491s	2.23868e-06	2023-04-10 13:35:40
12	2.74456	2.75705	6.76329	98.1278s	3.27254e-06	2023-04-10 13:37:20
13	2.73663	2.75849	7.72947	95.625s	4.17283e-06	2023-04-10 13:38:58
14	2.72167	2.74161	7.24638	99.2383s	4.78386e-06	2023-04-10 13:40:41
15	2.71327	2.73133	9.17874	94.6692s	5e-06	2023-04-10 13:42:17
16	2.70344	2.75334	10.628	98.6822s	4.78386e-06	2023-04-10 13:44:02
17	2.68334	2.71619	9.66184	96.8861s	4.17283e-06	2023-04-10 13:45:45
18	2.67077	2.69721	13.0435	98.1045s	3.27254e-06	2023-04-10 13:47:25
19	2.66259	2.68441	11.1111	94.7781s	2.23868e-06	2023-04-10 13:49:03
20	2.65511	2.69758	12.0773	99.4956s	1.25e-06	2023-04-10 13:50:44
21	2.63722	2.6758	12.5604	96.8111s	4.77458e-07	2023-04-10 13:52:23
22	2.65421	2.68601	14.9758	98.1211s	5.4631e-08	2023-04-10 13:54:03
23	2.64567	2.69327	15.4589	98.9909s	5.4631e-08	2023-04-10 13:55:45
24	2.63315	2.70592	12.5604	97.5499s	4.77458e-07	2023-04-10 13:57:26
25	2.63663	2.69735	12.5604	96.5069s	1.25e-06	2023-04-10 13:59:05
26	2.64812	2.6838	11.1111	97.5593s	2.23868e-06	2023-04-10 14:00:44
27	2.63542	2.672	11.5942	95.9907s	3.27254e-06	2023-04-10 14:02:22
28	2.61769	2.66304	14.0097	96.9192s	4.17283e-06	2023-04-10 14:04:00
29	2.61915	2.66822	13.5266	99.6471s	4.78386e-06	2023-04-10 14:05:42
30	2.6028	2.64598	14.0097	96.5718s	5e-06	2023-04-10 14:07:20
31	2.60426	2.64685	12.5604	97.254s	4.78386e-06	2023-04-10 14:08:59
32	2.59304	2.64888	13.0435	97.3729s	4.17283e-06	2023-04-10 14:10:38
33	2.58528	2.61084	14.9758	99.3842s	3.27254e-06	2023-04-10 14:12:19
34	2.56893	2.63114	14.4928	99.3046s	2.23868e-06	2023-04-10 14:14:01
35	2.57823	2.6744	15.942	96.7526s	1.25e-06	2023-04-10 14:15:42
36	2.56637	2.60837	13.5266	98.1862s	4.77458e-07	2023-04-10 14:17:24
37	2.55676	2.60976	16.4251	98.4937s	5.4631e-08	2023-04-10 14:19:04
38	2.57233	2.61511	14.4928	98.033s	5.4631e-08	2023-04-10 14:20:46
39	2.57983	2.59315	14.9758	95.2861s	4.77458e-07	2023-04-10 14:22:23
40	2.56475	2.6449	17.3913	95.1665s	1.25e-06	2023-04-10 14:24:00
41	2.54979	2.60156	16.4251	97.1125s	2.23868e-06	2023-04-10 14:25:45
42	2.57245	2.59861	14.4928	98.4568s	3.27254e-06	2023-04-10 14:27:26
43	2.53511	2.63443	16.4251	100.479s	4.17283e-06	2023-04-10 14:29:08
44	2.57172	2.61415	17.3913	99.266s	4.78386e-06	2023-04-10 14:30:49
45	2.56978	2.57625	14.0097	98.8489s	5e-06	2023-04-10 14:32:30
46	2.55027	2.61425	16.4251	98.891s	4.78386e-06	2023-04-10 14:34:10
47	2.54095	2.59992	15.942	97.4969s	4.17283e-06	2023-04-10 14:35:50
48	2.53614	2.59401	17.8744	93.069s	3.27254e-06	2023-04-10 14:37:24
49	2.51833	2.5564	17.8744	97.4143s	2.23868e-06	2023-04-10 14:39:05
50	2.50425	2.55784	18.3575	97.473s	1.25e-06	2023-04-10 14:40:45
