Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.0903	2.09118	5.31401	106.186s	4.52254e-06	2023-04-09 18:07:37
2	2.07299	2.08218	5.7971	108.474s	3.27254e-06	2023-04-09 18:09:27
3	2.06109	2.08865	5.31401	109.68s	1.72746e-06	2023-04-09 18:11:22
4	2.05794	2.0855	6.28019	109.232s	4.77458e-07	2023-04-09 18:13:15
5	2.05375	2.07206	5.31401	110.619s	0	2023-04-09 18:15:12
6	2.0652	2.08035	3.86473	105.429s	4.77458e-07	2023-04-09 18:17:00
7	2.0557	2.07628	7.24638	107.659s	1.72746e-06	2023-04-09 18:18:52
8	2.06334	2.06256	6.28019	110.262s	3.27254e-06	2023-04-09 18:20:47
9	2.04663	2.09233	6.28019	105.473s	4.52254e-06	2023-04-09 18:22:35
10	2.03904	2.05632	8.21256	106.356s	5e-06	2023-04-09 18:24:23
11	2.03366	2.03514	10.1449	108.972s	4.52254e-06	2023-04-09 18:26:15
12	2.02324	2.02762	10.1449	109.312s	3.27254e-06	2023-04-09 18:28:08
13	2.01347	2.02883	11.1111	106.22s	1.72746e-06	2023-04-09 18:29:56
14	2.0042	2.03792	12.0773	105.003s	4.77458e-07	2023-04-09 18:31:45
15	1.99675	2.03864	8.21256	106.917s	0	2023-04-09 18:33:35
16	1.99098	2.03871	10.1449	107.551s	4.77458e-07	2023-04-09 18:35:24
17	1.98755	2.04502	11.1111	103.917s	1.72746e-06	2023-04-09 18:37:10
18	1.98055	2.02603	9.66184	109.843s	3.27254e-06	2023-04-09 18:39:02
19	1.9851	2.01	11.1111	107.178s	4.52254e-06	2023-04-09 18:40:51
20	1.97846	2.00677	12.0773	106.922s	5e-06	2023-04-09 18:42:39
21	1.96426	2.01723	11.1111	109.285s	4.52254e-06	2023-04-09 18:44:30
22	1.94193	2.01797	11.5942	110.017s	3.27254e-06	2023-04-09 18:46:23
23	1.94257	1.98385	11.1111	108.569s	1.72746e-06	2023-04-09 18:48:16
24	1.93991	1.99246	12.5604	107.76s	4.77458e-07	2023-04-09 18:50:06
25	1.92278	2.00695	12.0773	105.328s	0	2023-04-09 18:51:55
26	1.91855	2.0004	14.0097	106.047s	4.77458e-07	2023-04-09 18:53:43
27	1.92193	1.97328	10.628	109.627s	1.72746e-06	2023-04-09 18:55:36
28	1.91647	1.99639	12.5604	109.283s	3.27254e-06	2023-04-09 18:57:27
29	1.89851	1.98418	14.0097	110.927s	4.52254e-06	2023-04-09 18:59:20
30	1.91041	1.97299	13.5266	109.14s	5e-06	2023-04-09 19:01:11
31	1.91281	1.96962	14.4928	104.264s	4.52254e-06	2023-04-09 19:02:57
32	1.87976	1.96191	13.5266	106.564s	3.27254e-06	2023-04-09 19:04:47
33	1.89315	1.97429	13.5266	107.378s	1.72746e-06	2023-04-09 19:06:36
34	1.89073	1.94851	12.5604	104.426s	4.77458e-07	2023-04-09 19:08:22
35	1.86354	1.93467	14.4928	105.666s	0	2023-04-09 19:10:10
36	1.88506	1.94687	14.0097	111.172s	4.77458e-07	2023-04-09 19:12:03
37	1.87587	1.95887	14.0097	110.792s	1.72746e-06	2023-04-09 19:13:55
38	1.87154	1.92763	16.4251	104.708s	3.27254e-06	2023-04-09 19:15:42
39	1.85774	1.95122	16.4251	105.171s	4.52254e-06	2023-04-09 19:17:31
40	1.86902	1.99278	15.942	108.813s	5e-06	2023-04-09 19:19:22
41	1.8373	1.96092	16.9082	106.469s	4.52254e-06	2023-04-09 19:21:12
42	1.84571	1.93093	15.4589	104.386s	3.27254e-06	2023-04-09 19:23:00
43	1.84625	1.93726	14.0097	106.949s	1.72746e-06	2023-04-09 19:24:49
44	1.83083	1.96477	13.5266	111.341s	4.77458e-07	2023-04-09 19:26:42
45	1.82133	1.92524	15.942	104.668s	0	2023-04-09 19:28:28
46	1.8409	1.92845	17.8744	108.525s	4.77458e-07	2023-04-09 19:30:19
47	1.86377	1.9104	16.9082	104.916s	1.72746e-06	2023-04-09 19:32:07
48	1.83197	1.92898	15.942	106.323s	3.27254e-06	2023-04-09 19:33:55
49	1.83171	1.92158	16.4251	112.368s	4.52254e-06	2023-04-09 19:35:49
50	1.84848	1.91925	17.3913	108.308s	5e-06	2023-04-09 19:37:39
