Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.78116	2.77348	6.76329	97.5509s	4.78386e-05	2023-04-07 15:02:51
2	2.73127	2.71359	7.24638	98.9884s	4.17283e-05	2023-04-07 15:04:32
3	2.66735	2.64271	12.0773	96.0084s	3.27254e-05	2023-04-07 15:06:11
4	2.60057	2.61673	13.0435	100.442s	2.23868e-05	2023-04-07 15:07:55
5	2.58511	2.58496	13.0435	98.1872s	1.25e-05	2023-04-07 15:09:37
6	2.57965	2.59958	14.0097	99.0267s	4.77458e-06	2023-04-07 15:11:18
7	2.54417	2.56509	15.4589	98.7781s	5.4631e-07	2023-04-07 15:13:00
8	2.51116	2.56289	12.0773	96.2594s	5.4631e-07	2023-04-07 15:14:41
9	2.53452	2.55692	15.942	97.7175s	4.77458e-06	2023-04-07 15:16:23
10	2.52252	2.60066	16.4251	98.0114s	1.25e-05	2023-04-07 15:18:04
11	2.54312	2.58729	14.4928	95.9746s	2.23868e-05	2023-04-07 15:19:44
12	2.5486	2.57655	14.9758	97.9025s	3.27254e-05	2023-04-07 15:21:23
13	2.52706	2.56266	15.4589	96.2405s	4.17283e-05	2023-04-07 15:23:01
14	2.50544	2.52529	18.3575	97.7456s	4.78386e-05	2023-04-07 15:24:41
15	2.47108	2.53221	20.7729	96.822s	5e-05	2023-04-07 15:26:21
16	2.4465	2.52742	14.0097	97.4595s	4.78386e-05	2023-04-07 15:28:02
17	2.41204	2.52091	22.2222	100.394s	4.17283e-05	2023-04-07 15:29:44
18	2.38855	2.53182	17.8744	95.9038s	3.27254e-05	2023-04-07 15:31:24
19	2.33684	2.52227	21.7391	100.246s	2.23868e-05	2023-04-07 15:33:06
20	2.29835	2.46827	22.2222	96.0534s	1.25e-05	2023-04-07 15:34:46
21	2.23586	2.49766	23.6715	95.9212s	4.77458e-06	2023-04-07 15:36:25
22	2.25082	2.43924	23.1884	96.3809s	5.4631e-07	2023-04-07 15:38:05
23	2.23032	2.48778	23.1884	97.7899s	5.4631e-07	2023-04-07 15:39:45
24	2.20944	2.44375	22.2222	95.1343s	4.77458e-06	2023-04-07 15:41:22
25	2.24577	2.50906	23.1884	96.0155s	1.25e-05	2023-04-07 15:43:00
26	2.26085	2.49018	22.2222	98.6864s	2.23868e-05	2023-04-07 15:44:40
27	2.28396	2.39369	21.256	97.9028s	3.27254e-05	2023-04-07 15:46:20
28	2.26244	2.52554	23.1884	97.8239s	4.17283e-05	2023-04-07 15:47:59
29	2.28158	2.47133	23.6715	97.8813s	4.78386e-05	2023-04-07 15:49:39
30	2.22977	2.4381	22.7053	99.3315s	5e-05	2023-04-07 15:51:20
31	2.236	2.44194	21.7391	95.4226s	4.78386e-05	2023-04-07 15:52:57
32	2.23997	2.39267	25.1208	97.5375s	4.17283e-05	2023-04-07 15:54:36
33	2.17996	2.40918	27.0531	96.6254s	3.27254e-05	2023-04-07 15:56:17
34	2.09206	2.42897	28.5024	98.5099s	2.23868e-05	2023-04-07 15:58:02
35	2.07853	2.44977	25.1208	94.6131s	1.25e-05	2023-04-07 15:59:42
36	2.02057	2.46236	25.6039	96.8532s	4.77458e-06	2023-04-07 16:01:20
37	2.01751	2.43959	28.5024	95.3803s	5.4631e-07	2023-04-07 16:02:57
38	1.98221	2.39571	28.9855	96.1785s	5.4631e-07	2023-04-07 16:04:35
39	2.0422	2.42597	27.0531	96.0498s	4.77458e-06	2023-04-07 16:06:15
40	2.00693	2.45266	28.0193	98.5596s	1.25e-05	2023-04-07 16:07:55
41	1.98251	2.47399	25.6039	96.3619s	2.23868e-05	2023-04-07 16:09:33
42	2.04797	2.41377	30.4348	95.5043s	3.27254e-05	2023-04-07 16:11:11
43	2.05016	2.3935	28.0193	99.3641s	4.17283e-05	2023-04-07 16:12:54
44	2.10537	2.4565	28.0193	96.5947s	4.78386e-05	2023-04-07 16:14:32
45	2.06396	2.53191	25.6039	97.1583s	5e-05	2023-04-07 16:16:11
46	2.07335	2.44441	30.9179	98.0263s	4.78386e-05	2023-04-07 16:17:51
47	2.03002	2.47041	29.4686	99.4097s	4.17283e-05	2023-04-07 16:19:35
48	2.008	2.43222	30.4348	98.9234s	3.27254e-05	2023-04-07 16:21:18
49	1.95005	2.42103	32.3671	96.5095s	2.23868e-05	2023-04-07 16:22:58
50	1.91599	2.42796	31.401	96.5145s	1.25e-05	2023-04-07 16:24:38
51	1.8921	2.38366	32.8502	95.6381s	4.77458e-06	2023-04-07 16:26:16
52	1.84687	2.32143	31.401	96.7403s	5.4631e-07	2023-04-07 16:27:56
53	1.79528	2.40582	32.8502	97.5762s	5.4631e-07	2023-04-07 16:29:35
54	1.75393	2.48265	29.9517	97.4591s	4.77458e-06	2023-04-07 16:31:14
55	1.81257	2.37713	31.8841	99.3251s	1.25e-05	2023-04-07 16:32:56
56	1.81978	2.39247	33.3333	96.4451s	2.23868e-05	2023-04-07 16:34:34
57	1.81451	2.39523	31.8841	96.9168s	3.27254e-05	2023-04-07 16:36:14
58	1.91687	2.36904	30.9179	98.525s	4.17283e-05	2023-04-07 16:37:55
59	1.9327	2.3981	29.9517	94.023s	4.78386e-05	2023-04-07 16:39:30
60	1.90934	2.50105	30.4348	97.5561s	5e-05	2023-04-07 16:41:10
61	1.923	2.4751	31.401	94.8851s	4.78386e-05	2023-04-07 16:42:46
62	1.89772	2.399	31.8841	102.295s	4.17283e-05	2023-04-07 16:44:31
63	1.84328	2.43298	29.9517	97.597s	3.27254e-05	2023-04-07 16:46:13
64	1.76835	2.49628	33.3333	98.292s	2.23868e-05	2023-04-07 16:47:55
65	1.7323	2.47935	31.8841	99.7673s	1.25e-05	2023-04-07 16:49:37
66	1.6579	2.37743	31.8841	93.7503s	4.77458e-06	2023-04-07 16:51:12
67	1.67679	2.43048	32.8502	94.4849s	5.4631e-07	2023-04-07 16:52:48
68	1.62485	2.46017	32.8502	97.6323s	5.4631e-07	2023-04-07 16:54:28
69	1.6545	2.42373	31.401	97.3803s	4.77458e-06	2023-04-07 16:56:07
70	1.6878	2.41716	32.3671	94.1173s	1.25e-05	2023-04-07 16:57:43
71	1.70235	2.39249	32.3671	93.2213s	2.23868e-05	2023-04-07 16:59:18
72	1.72196	2.48941	34.2995	94.6158s	3.27254e-05	2023-04-07 17:00:54
73	1.7593	2.45551	32.3671	98.088s	4.17283e-05	2023-04-07 17:02:36
74	1.72537	2.49571	30.4348	93.5154s	4.78386e-05	2023-04-07 17:04:11
75	1.77091	2.54461	33.3333	96.7057s	5e-05	2023-04-07 17:05:50
