Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.78231	2.75078	5.31401	97.0387s	4.78386e-05	2023-04-07 12:57:47
2	2.7267	2.74579	6.76329	98.3035s	4.17283e-05	2023-04-07 12:59:27
3	2.67069	2.69796	11.1111	96.5432s	3.27254e-05	2023-04-07 13:01:07
4	2.61921	2.69713	14.0097	94.7031s	2.23868e-05	2023-04-07 13:02:46
5	2.58512	2.65005	13.0435	96.7469s	1.25e-05	2023-04-07 13:04:27
6	2.55738	2.6604	13.0435	99.6068s	4.77458e-06	2023-04-07 13:06:09
7	2.55832	2.65921	14.9758	96.2542s	5.4631e-07	2023-04-07 13:07:47
8	2.55299	2.65883	17.3913	97.6122s	5.4631e-07	2023-04-07 13:09:28
9	2.5359	2.66711	12.0773	95.4699s	4.77458e-06	2023-04-07 13:11:07
10	2.53055	2.69103	13.5266	92.8696s	1.25e-05	2023-04-07 13:12:41
11	2.52914	2.68273	10.628	97.1554s	2.23868e-05	2023-04-07 13:14:20
12	2.54035	2.64809	13.5266	99.1279s	3.27254e-05	2023-04-07 13:16:01
13	2.50614	2.66757	13.0435	93.7427s	4.17283e-05	2023-04-07 13:17:37
14	2.5133	2.64983	15.4589	94.1667s	4.78386e-05	2023-04-07 13:19:13
15	2.50018	2.6556	12.5604	96.8104s	5e-05	2023-04-07 13:20:51
16	2.44843	2.74108	14.0097	98.8694s	4.78386e-05	2023-04-07 13:22:32
17	2.4515	2.65514	13.5266	96.0531s	4.17283e-05	2023-04-07 13:24:10
18	2.44414	2.55479	18.3575	98.9112s	3.27254e-05	2023-04-07 13:25:53
19	2.36831	2.55372	18.8406	96.5706s	2.23868e-05	2023-04-07 13:27:37
20	2.34157	2.52697	21.7391	97.8013s	1.25e-05	2023-04-07 13:29:20
21	2.34063	2.51034	20.2899	97.039s	4.77458e-06	2023-04-07 13:31:00
22	2.32443	2.54584	18.8406	97.2622s	5.4631e-07	2023-04-07 13:32:39
23	2.3159	2.58267	19.8068	98.0756s	5.4631e-07	2023-04-07 13:34:19
24	2.30522	2.47313	19.8068	97.1395s	4.77458e-06	2023-04-07 13:35:58
25	2.30841	2.55034	22.2222	98.2666s	1.25e-05	2023-04-07 13:37:38
26	2.31788	2.58505	20.7729	97.1037s	2.23868e-05	2023-04-07 13:39:19
27	2.30957	2.5906	20.7729	96.9693s	3.27254e-05	2023-04-07 13:40:58
28	2.33041	2.56219	19.3237	99.5138s	4.17283e-05	2023-04-07 13:42:39
29	2.34103	2.47705	24.6377	99.7164s	4.78386e-05	2023-04-07 13:44:21
30	2.30238	2.54856	19.3237	97.597s	5e-05	2023-04-07 13:46:02
31	2.29758	2.53295	23.1884	95.8826s	4.78386e-05	2023-04-07 13:47:39
32	2.27412	2.62252	19.3237	91.503s	4.17283e-05	2023-04-07 13:49:14
33	2.26553	2.49599	23.6715	98.4944s	3.27254e-05	2023-04-07 13:50:55
34	2.20764	2.48651	21.256	98.2043s	2.23868e-05	2023-04-07 13:52:35
35	2.17227	2.51545	22.7053	101.571s	1.25e-05	2023-04-07 13:54:19
36	2.11714	2.44816	23.1884	99.5392s	4.77458e-06	2023-04-07 13:56:00
