Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.7892	2.75777	8.69565	98.5326s	4.78386e-05	2023-04-07 21:17:29
2	2.75144	2.69268	10.1449	97.5676s	4.17283e-05	2023-04-07 21:19:08
3	2.66255	2.69893	9.17874	96.8172s	3.27254e-05	2023-04-07 21:20:51
4	2.60928	2.63864	11.1111	97.2758s	2.23868e-05	2023-04-07 21:22:32
5	2.57236	2.62843	9.17874	98.2494s	1.25e-05	2023-04-07 21:24:14
6	2.54504	2.59421	12.0773	96.4567s	4.77458e-06	2023-04-07 21:25:52
7	2.55631	2.62807	13.0435	99.3767s	5.4631e-07	2023-04-07 21:27:35
8	2.55264	2.61428	15.4589	97.9527s	5.4631e-07	2023-04-07 21:29:17
9	2.55519	2.59039	13.0435	98.1883s	4.77458e-06	2023-04-07 21:30:58
10	2.51959	2.60502	11.5942	95.5842s	1.25e-05	2023-04-07 21:32:36
11	2.53415	2.56808	12.5604	96.3918s	2.23868e-05	2023-04-07 21:34:14
12	2.52385	2.59726	12.5604	97.8244s	3.27254e-05	2023-04-07 21:35:53
13	2.49505	2.63379	15.4589	95.996s	4.17283e-05	2023-04-07 21:37:31
14	2.50593	2.66081	16.9082	96.3828s	4.78386e-05	2023-04-07 21:39:09
15	2.48163	2.57438	16.9082	99.477s	5e-05	2023-04-07 21:40:54
16	2.45604	2.51654	13.0435	96.4992s	4.78386e-05	2023-04-07 21:42:34
17	2.39765	2.48129	18.8406	96.2543s	4.17283e-05	2023-04-07 21:44:14
18	2.36732	2.50633	17.8744	97.9429s	3.27254e-05	2023-04-07 21:45:55
19	2.3198	2.52368	20.7729	96.4038s	2.23868e-05	2023-04-07 21:47:34
20	2.2917	2.49405	18.3575	97.0473s	1.25e-05	2023-04-07 21:49:14
21	2.27184	2.47852	18.3575	100.875s	4.77458e-06	2023-04-07 21:50:57
22	2.25152	2.52553	19.3237	95.4442s	5.4631e-07	2023-04-07 21:52:34
23	2.22556	2.40917	17.8744	95.6863s	5.4631e-07	2023-04-07 21:54:11
24	2.22401	2.48366	19.8068	96.3498s	4.77458e-06	2023-04-07 21:55:50
25	2.23899	2.45228	18.8406	96.9844s	1.25e-05	2023-04-07 21:57:28
26	2.27366	2.50681	20.2899	95.2376s	2.23868e-05	2023-04-07 21:59:05
27	2.23154	2.4973	21.7391	96.6182s	3.27254e-05	2023-04-07 22:00:44
28	2.23874	2.51889	18.8406	97.2514s	4.17283e-05	2023-04-07 22:02:24
29	2.30149	2.56731	19.3237	96.4062s	4.78386e-05	2023-04-07 22:04:03
30	2.28118	2.54887	16.4251	97.8053s	5e-05	2023-04-07 22:05:45
31	2.25264	2.49389	23.6715	96.6307s	4.78386e-05	2023-04-07 22:07:23
32	2.21064	2.52743	22.7053	98.9535s	4.17283e-05	2023-04-07 22:09:06
33	2.16162	2.51042	23.1884	98.6185s	3.27254e-05	2023-04-07 22:10:46
34	2.11446	2.56711	25.1208	98.0311s	2.23868e-05	2023-04-07 22:12:26
35	2.08097	2.52334	24.1546	97.5716s	1.25e-05	2023-04-07 22:14:07
36	2.06705	2.54908	25.1208	98.5532s	4.77458e-06	2023-04-07 22:15:47
37	2.06441	2.49472	24.1546	100.537s	5.4631e-07	2023-04-07 22:17:30
38	2.02652	2.45117	24.6377	97.0077s	5.4631e-07	2023-04-07 22:19:08
39	2.00672	2.54298	25.1208	99.1193s	4.77458e-06	2023-04-07 22:20:49
40	1.96904	2.47259	25.6039	97.9449s	1.25e-05	2023-04-07 22:22:29
41	1.99136	2.53837	22.7053	99.3835s	2.23868e-05	2023-04-07 22:24:12
42	2.07361	2.4749	24.1546	97.6015s	3.27254e-05	2023-04-07 22:25:51
43	2.06949	2.48685	25.6039	98.2024s	4.17283e-05	2023-04-07 22:27:34
44	2.06508	2.47509	25.6039	100.789s	4.78386e-05	2023-04-07 22:29:16
45	2.06551	2.53814	23.6715	100.194s	5e-05	2023-04-07 22:30:58
46	2.08319	2.50963	26.087	96.5738s	4.78386e-05	2023-04-07 22:32:36
47	2.05176	2.46418	24.6377	99.1892s	4.17283e-05	2023-04-07 22:34:19
48	1.99516	2.50757	27.0531	96.7213s	3.27254e-05	2023-04-07 22:35:58
49	1.94018	2.50021	27.0531	95.6712s	2.23868e-05	2023-04-07 22:37:40
50	1.85815	2.51495	28.0193	98.8549s	1.25e-05	2023-04-07 22:39:21
51	1.8516	2.5292	29.9517	100.092s	4.77458e-06	2023-04-07 22:41:05
52	1.81302	2.41985	30.4348	98.8509s	5.4631e-07	2023-04-07 22:42:47
53	1.77704	2.43912	28.9855	97.1807s	5.4631e-07	2023-04-07 22:44:28
54	1.82206	2.44266	28.9855	97.4862s	4.77458e-06	2023-04-07 22:46:07
55	1.83502	2.48549	27.0531	97.0875s	1.25e-05	2023-04-07 22:47:46
56	1.8545	2.49773	29.9517	98.2108s	2.23868e-05	2023-04-07 22:49:26
57	1.86712	2.5254	25.6039	99.7155s	3.27254e-05	2023-04-07 22:51:08
58	1.90645	2.52487	25.6039	95.5534s	4.17283e-05	2023-04-07 22:52:45
59	1.91471	2.4754	27.5362	96.5295s	4.78386e-05	2023-04-07 22:54:23
60	1.9278	2.55465	27.0531	99.5934s	5e-05	2023-04-07 22:56:06
61	1.88573	2.51981	29.4686	99.8585s	4.78386e-05	2023-04-07 22:57:50
62	1.88017	2.48478	27.5362	97.1751s	4.17283e-05	2023-04-07 22:59:30
63	1.85342	2.45132	28.0193	96.5542s	3.27254e-05	2023-04-07 23:01:08
64	1.77305	2.49095	31.8841	94.8244s	2.23868e-05	2023-04-07 23:02:45
65	1.72307	2.52671	30.9179	103.617s	1.25e-05	2023-04-07 23:04:32
66	1.69495	2.41042	29.4686	97.2796s	4.77458e-06	2023-04-07 23:06:11
67	1.62547	2.46651	28.9855	97.0971s	5.4631e-07	2023-04-07 23:07:50
68	1.63902	2.47972	29.9517	97.0345s	5.4631e-07	2023-04-07 23:09:29
69	1.67982	2.33103	30.4348	97.5904s	4.77458e-06	2023-04-07 23:11:08
70	1.67904	2.45807	29.9517	97.4095s	1.25e-05	2023-04-07 23:12:47
71	1.67162	2.43966	28.0193	98.4492s	2.23868e-05	2023-04-07 23:14:27
72	1.7321	2.47665	28.5024	99.5067s	3.27254e-05	2023-04-07 23:16:09
73	1.71772	2.49423	29.9517	97.5534s	4.17283e-05	2023-04-07 23:17:48
74	1.77799	2.5373	28.9855	98.0269s	4.78386e-05	2023-04-07 23:19:28
75	1.75738	2.38754	29.9517	97.758s	5e-05	2023-04-07 23:21:07
