Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.0754	2.11582	15	119.639s	4.52254e-06	2023-04-18 02:00:02
2	2.05192	2.11909	13.75	123.156s	3.27254e-06	2023-04-18 02:02:07
3	2.02789	2.10557	18.75	122.965s	1.72746e-06	2023-04-18 02:04:12
4	2.02055	2.13959	16.25	118.697s	4.77458e-07	2023-04-18 02:06:14
5	2.00831	2.12201	15	119.091s	0	2023-04-18 02:08:15
6	2.01668	2.11321	11.25	119.39s	4.77458e-07	2023-04-18 02:10:17
7	2.01103	2.12634	11.25	124.051s	1.72746e-06	2023-04-18 02:12:25
8	1.99411	2.13458	11.25	120.611s	3.27254e-06	2023-04-18 02:14:27
9	1.97363	2.15169	18.75	122.087s	4.52254e-06	2023-04-18 02:16:31
10	1.97304	2.13953	17.5	123.521s	5e-06	2023-04-18 02:18:37
11	1.94932	2.14568	16.25	123.989s	4.52254e-06	2023-04-18 02:20:42
12	1.9436	2.16175	15	118.388s	3.27254e-06	2023-04-18 02:22:43
13	1.91066	2.16907	15	124.998s	1.72746e-06	2023-04-18 02:24:49
14	1.92226	2.15112	15	122.766s	4.77458e-07	2023-04-18 02:26:54
15	1.90379	2.15048	17.5	125.147s	0	2023-04-18 02:29:01
16	1.91617	2.16658	16.25	120.384s	4.77458e-07	2023-04-18 02:31:03
17	1.91043	2.16361	12.5	120.75s	1.72746e-06	2023-04-18 02:33:05
18	1.90108	2.17831	17.5	121.856s	3.27254e-06	2023-04-18 02:35:09
19	1.88664	2.15947	13.75	123.673s	4.52254e-06	2023-04-18 02:37:15
20	1.8829	2.15994	12.5	122.908s	5e-06	2023-04-18 02:39:19
21	1.87123	2.20709	13.75	120.358s	4.52254e-06	2023-04-18 02:41:21
22	1.87073	2.17938	15	122.125s	3.27254e-06	2023-04-18 02:43:25
23	1.87353	2.18896	13.75	121.335s	1.72746e-06	2023-04-18 02:45:28
24	1.85281	2.17417	16.25	122.092s	4.77458e-07	2023-04-18 02:47:32
25	1.87583	2.18671	16.25	122.577s	0	2023-04-18 02:49:38
26	1.83908	2.20376	15	120.691s	4.77458e-07	2023-04-18 02:51:43
27	1.8449	2.19109	18.75	120.12s	1.72746e-06	2023-04-18 02:53:45
28	1.85383	2.18663	15	121.501s	3.27254e-06	2023-04-18 02:55:48
29	1.8494	2.16472	17.5	121.258s	4.52254e-06	2023-04-18 02:57:51
30	1.85049	2.17314	17.5	123.262s	5e-06	2023-04-18 02:59:56
31	1.83136	2.20117	17.5	121.327s	4.52254e-06	2023-04-18 03:01:59
32	1.84444	2.17244	16.25	122.902s	3.27254e-06	2023-04-18 03:04:04
33	1.8203	2.20665	16.25	120.734s	1.72746e-06	2023-04-18 03:06:06
34	1.82684	2.19732	21.25	120.941s	4.77458e-07	2023-04-18 03:08:09
35	1.81344	2.19753	17.5	125.812s	0	2023-04-18 03:10:18
36	1.79486	2.18913	17.5	122.947s	4.77458e-07	2023-04-18 03:12:23
37	1.82703	2.18985	17.5	119.324s	1.72746e-06	2023-04-18 03:14:24
38	1.80822	2.18951	20	121.995s	3.27254e-06	2023-04-18 03:16:28
39	1.82993	2.17577	22.5	121.956s	4.52254e-06	2023-04-18 03:18:32
40	1.80165	2.18895	15	122.715s	5e-06	2023-04-18 03:20:38
41	1.81266	2.16956	15	121.567s	4.52254e-06	2023-04-18 03:22:41
42	1.79403	2.19391	17.5	124.507s	3.27254e-06	2023-04-18 03:24:48
43	1.77334	2.20905	21.25	119.053s	1.72746e-06	2023-04-18 03:26:50
44	1.77924	2.18123	17.5	121.749s	4.77458e-07	2023-04-18 03:28:56
45	1.78394	2.16658	17.5	122.569s	0	2023-04-18 03:31:01
46	1.78187	2.17639	17.5	121.378s	4.77458e-07	2023-04-18 03:33:04
47	1.77219	2.19396	15	121.28s	1.72746e-06	2023-04-18 03:35:07
48	1.79155	2.1852	13.75	120.5s	3.27254e-06	2023-04-18 03:37:09
49	1.81178	2.13957	12.5	120.495s	4.52254e-06	2023-04-18 03:39:12
50	1.77761	2.16764	16.25	125.116s	5e-06	2023-04-18 03:41:19
