Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.78219	2.76749	5.31401	93.8859s	4.78386e-05	2023-04-07 23:22:49
2	2.68965	2.70994	9.17874	97.3459s	4.17283e-05	2023-04-07 23:24:28
3	2.63262	2.68245	10.1449	98.3737s	3.27254e-05	2023-04-07 23:26:10
4	2.61985	2.6423	10.1449	97.9228s	2.23868e-05	2023-04-07 23:27:51
5	2.57874	2.65373	12.0773	98.5574s	1.25e-05	2023-04-07 23:29:32
6	2.57399	2.60712	14.4928	96.7994s	4.77458e-06	2023-04-07 23:31:12
7	2.53236	2.60758	14.0097	93.236s	5.4631e-07	2023-04-07 23:32:49
8	2.53857	2.6145	15.4589	96.8352s	5.4631e-07	2023-04-07 23:34:27
9	2.5355	2.57853	13.5266	96.3399s	4.77458e-06	2023-04-07 23:36:07
10	2.52651	2.61647	14.9758	94.6352s	1.25e-05	2023-04-07 23:37:43
11	2.53137	2.61585	12.0773	99.3783s	2.23868e-05	2023-04-07 23:39:25
12	2.52727	2.61817	15.4589	97.5024s	3.27254e-05	2023-04-07 23:41:06
13	2.52131	2.59673	15.942	95.8755s	4.17283e-05	2023-04-07 23:42:46
14	2.50466	2.54902	16.4251	97.0008s	4.78386e-05	2023-04-07 23:44:30
15	2.4447	2.5959	16.4251	98.9497s	5e-05	2023-04-07 23:46:12
16	2.48542	2.57118	19.3237	97.3161s	4.78386e-05	2023-04-07 23:47:51
17	2.4351	2.49765	17.3913	96.4868s	4.17283e-05	2023-04-07 23:49:31
18	2.40129	2.49487	18.3575	96.0153s	3.27254e-05	2023-04-07 23:51:09
19	2.33259	2.4864	18.8406	97.5722s	2.23868e-05	2023-04-07 23:52:48
20	2.30319	2.44344	20.7729	94.8554s	1.25e-05	2023-04-07 23:54:25
21	2.29628	2.47701	17.3913	96.2055s	4.77458e-06	2023-04-07 23:56:05
22	2.21241	2.42965	20.7729	95.1727s	5.4631e-07	2023-04-07 23:57:41
23	2.20232	2.43696	21.7391	97.4119s	5.4631e-07	2023-04-07 23:59:21
24	2.23799	2.4935	22.2222	98.179s	4.77458e-06	2023-04-08 00:01:03
25	2.21408	2.45249	20.2899	97.2568s	1.25e-05	2023-04-08 00:02:48
26	2.23755	2.5027	18.8406	94.7339s	2.23868e-05	2023-04-08 00:04:25
27	2.22609	2.47202	20.2899	100.003s	3.27254e-05	2023-04-08 00:06:07
28	2.23938	2.45731	21.7391	98.1362s	4.17283e-05	2023-04-08 00:07:47
29	2.26422	2.53015	19.3237	94.6565s	4.78386e-05	2023-04-08 00:09:23
30	2.26076	2.4946	23.6715	94.3286s	5e-05	2023-04-08 00:11:00
31	2.22381	2.41171	22.2222	97.5569s	4.78386e-05	2023-04-08 00:12:41
32	2.20066	2.45439	22.2222	100.214s	4.17283e-05	2023-04-08 00:14:23
33	2.14216	2.44787	27.0531	97.6713s	3.27254e-05	2023-04-08 00:16:02
34	2.09362	2.37326	28.9855	98.6542s	2.23868e-05	2023-04-08 00:17:44
35	2.07685	2.30689	26.57	97.2662s	1.25e-05	2023-04-08 00:19:25
36	2.02134	2.42505	28.9855	96.9996s	4.77458e-06	2023-04-08 00:21:04
37	2.00835	2.375	30.9179	98.758s	5.4631e-07	2023-04-08 00:22:44
38	2.01829	2.37807	28.0193	97.9488s	5.4631e-07	2023-04-08 00:24:28
39	1.9959	2.33139	28.9855	95.2225s	4.77458e-06	2023-04-08 00:26:08
40	1.97565	2.46579	28.5024	97.858s	1.25e-05	2023-04-08 00:27:49
41	2.03936	2.34099	29.4686	96.3019s	2.23868e-05	2023-04-08 00:29:27
42	2.05344	2.4878	27.5362	98.8896s	3.27254e-05	2023-04-08 00:31:08
43	2.06267	2.48091	28.5024	96.3514s	4.17283e-05	2023-04-08 00:32:46
44	2.03581	2.57311	27.5362	95.9804s	4.78386e-05	2023-04-08 00:34:24
45	2.05217	2.43414	30.4348	99.6861s	5e-05	2023-04-08 00:36:05
46	2.0695	2.44365	30.4348	96.4741s	4.78386e-05	2023-04-08 00:37:43
47	2.0545	2.43458	30.4348	98.0272s	4.17283e-05	2023-04-08 00:39:23
48	1.96027	2.41261	26.57	96.5322s	3.27254e-05	2023-04-08 00:41:01
49	1.85507	2.49638	29.4686	98.3792s	2.23868e-05	2023-04-08 00:42:42
50	1.88179	2.47895	29.4686	98.7901s	1.25e-05	2023-04-08 00:44:22
51	1.81942	2.49444	31.8841	91.7447s	4.77458e-06	2023-04-08 00:45:56
52	1.75017	2.41408	32.3671	95.8842s	5.4631e-07	2023-04-08 00:47:35
53	1.77068	2.44072	32.8502	96.1036s	5.4631e-07	2023-04-08 00:49:15
54	1.83699	2.43493	31.401	98.0963s	4.77458e-06	2023-04-08 00:50:59
55	1.81791	2.36714	31.8841	97.7305s	1.25e-05	2023-04-08 00:52:41
56	1.81072	2.34007	34.2995	96.3976s	2.23868e-05	2023-04-08 00:54:21
57	1.83091	2.39842	32.3671	97.6463s	3.27254e-05	2023-04-08 00:56:04
58	1.86678	2.50267	29.4686	95.793s	4.17283e-05	2023-04-08 00:57:41
59	1.90203	2.38169	31.401	95.6531s	4.78386e-05	2023-04-08 00:59:19
60	1.88667	2.47125	28.0193	96.3917s	5e-05	2023-04-08 01:00:57
61	1.91444	2.38512	30.9179	99.3515s	4.78386e-05	2023-04-08 01:02:38
62	1.87918	2.4152	28.0193	99.183s	4.17283e-05	2023-04-08 01:04:19
63	1.83857	2.40973	30.9179	95.7711s	3.27254e-05	2023-04-08 01:05:56
64	1.75505	2.3874	28.9855	99.7847s	2.23868e-05	2023-04-08 01:07:38
65	1.74873	2.47377	32.8502	97.1583s	1.25e-05	2023-04-08 01:09:17
66	1.63183	2.4091	32.8502	96.2702s	4.77458e-06	2023-04-08 01:10:55
67	1.65686	2.51753	33.8164	96.8391s	5.4631e-07	2023-04-08 01:12:34
68	1.62766	2.42929	33.8164	97.7205s	5.4631e-07	2023-04-08 01:14:13
69	1.61949	2.44359	32.8502	96.6766s	4.77458e-06	2023-04-08 01:15:51
70	1.66202	2.45252	33.8164	100.38s	1.25e-05	2023-04-08 01:17:34
71	1.6196	2.49925	30.4348	97.2486s	2.23868e-05	2023-04-08 01:19:13
72	1.67973	2.53308	30.4348	98.6324s	3.27254e-05	2023-04-08 01:20:53
73	1.70212	2.42045	30.9179	98.6032s	4.17283e-05	2023-04-08 01:22:33
74	1.71494	2.51248	28.9855	97.7489s	4.78386e-05	2023-04-08 01:24:13
