Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	3.47286	3.48471	10	103.453s	4.87764e-05	2023-04-17 15:33:38
2	3.41535	3.51649	10	103.356s	4.52254e-05	2023-04-17 15:35:23
3	3.3322	3.52605	12.5	100.352s	3.96946e-05	2023-04-17 15:37:05
4	3.28845	3.54048	15	103.066s	3.27254e-05	2023-04-17 15:38:52
5	3.22191	3.56181	13.75	104.758s	2.5e-05	2023-04-17 15:40:40
6	3.20446	3.51125	12.5	101.164s	1.72746e-05	2023-04-17 15:42:23
7	3.16004	3.54486	16.25	102.314s	1.03054e-05	2023-04-17 15:44:07
8	3.14119	3.52829	13.75	105.325s	4.77458e-06	2023-04-17 15:45:56
9	3.10489	3.54514	13.75	103.316s	1.22359e-06	2023-04-17 15:47:42
10	3.13363	3.52664	15	101.882s	0	2023-04-17 15:49:25
11	3.12393	3.56339	11.25	103.574s	1.22359e-06	2023-04-17 15:51:11
12	3.11782	3.54019	15	99.1864s	4.77458e-06	2023-04-17 15:52:54
13	3.11423	3.50531	17.5	99.6338s	1.03054e-05	2023-04-17 15:54:37
14	3.1159	3.51295	16.25	104.337s	1.72746e-05	2023-04-17 15:56:25
15	3.09315	3.54323	11.25	103.993s	2.5e-05	2023-04-17 15:58:11
16	3.11047	3.51744	13.75	104.546s	3.27254e-05	2023-04-17 15:59:57
17	3.09157	3.5463	15	102.1s	3.96946e-05	2023-04-17 16:01:41
18	3.07265	3.50818	8.75	102.968s	4.52254e-05	2023-04-17 16:03:26
19	3.036	3.52231	16.25	103.725s	4.87764e-05	2023-04-17 16:05:11
20	3.01826	3.51602	13.75	101.098s	5e-05	2023-04-17 16:06:54
21	2.98078	3.53939	12.5	99.9609s	4.87764e-05	2023-04-17 16:08:36
22	2.95217	3.52475	10	101.571s	4.52254e-05	2023-04-17 16:10:19
23	2.89099	3.52466	17.5	103.754s	3.96946e-05	2023-04-17 16:12:05
24	2.8938	3.52715	16.25	103.579s	3.27254e-05	2023-04-17 16:13:50
25	2.79098	3.59125	16.25	102.903s	2.5e-05	2023-04-17 16:15:35
26	2.76554	3.54781	12.5	102.182s	1.72746e-05	2023-04-17 16:17:19
27	2.73525	3.56367	16.25	101.919s	1.03054e-05	2023-04-17 16:19:03
