Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.77773	2.8017	13.75	111.328s	4.78386e-05	2023-04-17 10:51:46
2	2.7137	2.78909	16.25	105.58s	4.17283e-05	2023-04-17 10:53:34
3	2.63371	2.78131	18.75	110.319s	3.27254e-05	2023-04-17 10:55:27
4	2.57585	2.80216	16.25	111.223s	2.23868e-05	2023-04-17 10:57:25
5	2.53793	2.79901	13.75	112.414s	1.25e-05	2023-04-17 10:59:21
6	2.49433	2.79856	20	114.008s	4.77458e-06	2023-04-17 11:01:17
7	2.47918	2.80139	17.5	109.786s	5.4631e-07	2023-04-17 11:03:11
8	2.44903	2.80339	17.5	108.012s	5.4631e-07	2023-04-17 11:05:00
9	2.48246	2.80068	18.75	112.634s	4.77458e-06	2023-04-17 11:06:55
10	2.45728	2.79817	18.75	112.511s	1.25e-05	2023-04-17 11:08:49
11	2.47813	2.80463	16.25	111.972s	2.23868e-05	2023-04-17 11:10:43
12	2.46843	2.8204	15	110.704s	3.27254e-05	2023-04-17 11:12:35
13	2.41145	2.8051	11.25	107.141s	4.17283e-05	2023-04-17 11:14:24
14	2.45832	2.82911	15	110.314s	4.78386e-05	2023-04-17 11:16:16
15	2.42056	2.82989	18.75	109.787s	5e-05	2023-04-17 11:18:08
16	2.38839	2.8069	17.5	109.145s	4.78386e-05	2023-04-17 11:19:59
17	2.35054	2.82665	21.25	110.564s	4.17283e-05	2023-04-17 11:21:51
18	2.29475	2.8295	20	110.413s	3.27254e-05	2023-04-17 11:23:45
19	2.25791	2.86077	16.25	111.808s	2.23868e-05	2023-04-17 11:25:40
20	2.20638	2.90417	16.25	113.085s	1.25e-05	2023-04-17 11:27:34
21	2.17392	2.89827	15	114.991s	4.77458e-06	2023-04-17 11:29:31
22	2.15919	2.89389	17.5	110.294s	5.4631e-07	2023-04-17 11:31:23
23	2.1365	2.89053	16.25	110.645s	5.4631e-07	2023-04-17 11:33:16
24	2.15363	2.89934	18.75	111.59s	4.77458e-06	2023-04-17 11:35:09
25	2.15261	2.88586	22.5	111.644s	1.25e-05	2023-04-17 11:37:02
26	2.14885	2.8842	18.75	111.953s	2.23868e-05	2023-04-17 11:38:58
27	2.19543	2.8798	17.5	114.715s	3.27254e-05	2023-04-17 11:40:55
28	2.19253	2.85702	20	108.698s	4.17283e-05	2023-04-17 11:42:48
29	2.19741	2.84865	13.75	109.879s	4.78386e-05	2023-04-17 11:44:40
30	2.16892	2.90757	13.75	109.891s	5e-05	2023-04-17 11:46:31
31	2.23772	2.90369	16.25	112.128s	4.78386e-05	2023-04-17 11:48:25
32	2.14761	2.91129	15	108.801s	4.17283e-05	2023-04-17 11:50:16
33	2.08924	2.98152	12.5	111.837s	3.27254e-05	2023-04-17 11:52:10
34	2.06012	3.00351	11.25	108.664s	2.23868e-05	2023-04-17 11:54:03
35	1.99415	2.98595	16.25	112.22s	1.25e-05	2023-04-17 11:56:02
36	1.93565	3.00786	8.75	111.62s	4.77458e-06	2023-04-17 11:57:55
37	1.90214	3.03183	10	112.695s	5.4631e-07	2023-04-17 11:59:49
38	1.8635	3.0071	10	111.012s	5.4631e-07	2023-04-17 12:01:42
39	1.91094	3.01587	11.25	108.811s	4.77458e-06	2023-04-17 12:03:33
40	1.90266	3.01284	15	113.404s	1.25e-05	2023-04-17 12:05:28
41	1.91135	3.06775	12.5	109.71s	2.23868e-05	2023-04-17 12:07:19
42	1.96	2.92152	16.25	109.768s	3.27254e-05	2023-04-17 12:09:11
43	1.94745	2.97551	17.5	115.864s	4.17283e-05	2023-04-17 12:11:09
44	1.96385	2.96707	12.5	110.355s	4.78386e-05	2023-04-17 12:13:01
45	2.0016	2.97212	15	113.771s	5e-05	2023-04-17 12:14:56
46	1.96656	3.08765	17.5	112.229s	4.78386e-05	2023-04-17 12:16:50
47	1.92813	3.05083	16.25	113.027s	4.17283e-05	2023-04-17 12:18:45
48	1.86817	3.08162	13.75	109.371s	3.27254e-05	2023-04-17 12:20:38
49	1.83314	3.12623	8.75	112.111s	2.23868e-05	2023-04-17 12:22:34
50	1.78927	3.0939	17.5	109.767s	1.25e-05	2023-04-17 12:24:26
51	1.73317	3.12634	13.75	111.615s	4.77458e-06	2023-04-17 12:26:19
52	1.69735	3.12196	13.75	111.129s	5.4631e-07	2023-04-17 12:28:12
53	1.67649	3.07749	13.75	110.889s	5.4631e-07	2023-04-17 12:30:05
54	1.69977	3.14289	15	108.272s	4.77458e-06	2023-04-17 12:31:55
55	1.69406	3.1453	12.5	108.816s	1.25e-05	2023-04-17 12:33:45
56	1.73305	3.12151	16.25	108.803s	2.23868e-05	2023-04-17 12:35:38
57	1.78644	3.02641	17.5	108.553s	3.27254e-05	2023-04-17 12:37:30
58	1.82317	2.99001	18.75	109.918s	4.17283e-05	2023-04-17 12:39:22
59	1.81509	2.9899	20	110.977s	4.78386e-05	2023-04-17 12:41:15
60	1.8192	3.05724	17.5	107.601s	5e-05	2023-04-17 12:43:04
61	1.82043	3.12128	16.25	109.924s	4.78386e-05	2023-04-17 12:44:56
62	1.8036	3.02057	20	110.403s	4.17283e-05	2023-04-17 12:46:48
63	1.70629	3.02981	15	107.785s	3.27254e-05	2023-04-17 12:48:37
64	1.71284	3.08891	17.5	113.185s	2.23868e-05	2023-04-17 12:50:32
65	1.63647	3.14482	16.25	109.924s	1.25e-05	2023-04-17 12:52:24
66	1.543	3.14195	15	109.441s	4.77458e-06	2023-04-17 12:54:15
67	1.52183	3.12214	17.5	108.537s	5.4631e-07	2023-04-17 12:56:06
68	1.54423	3.16853	17.5	110.361s	5.4631e-07	2023-04-17 12:57:58
69	1.52985	3.12949	17.5	110.151s	4.77458e-06	2023-04-17 12:59:50
70	1.55357	3.12852	17.5	109.464s	1.25e-05	2023-04-17 13:01:41
71	1.53712	3.14492	13.75	110.981s	2.23868e-05	2023-04-17 13:03:34
72	1.58811	3.07574	16.25	108.684s	3.27254e-05	2023-04-17 13:05:24
73	1.63853	3.07261	12.5	111.106s	4.17283e-05	2023-04-17 13:07:17
74	1.64963	3.16151	17.5	112.528s	4.78386e-05	2023-04-17 13:09:13
75	1.65117	3.16179	17.5	110.012s	5e-05	2023-04-17 13:11:07
