Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.78534	2.76554	6.28019	100.064s	4.78386e-06	2023-04-10 17:29:28
2	2.76422	2.75967	6.76329	95.7293s	4.17283e-06	2023-04-10 17:31:06
3	2.75614	2.74481	6.76329	97.6357s	3.27254e-06	2023-04-10 17:32:47
4	2.73923	2.74845	7.72947	102.464s	2.23868e-06	2023-04-10 17:34:31
5	2.74575	2.74108	8.69565	95.2966s	1.25e-06	2023-04-10 17:36:10
6	2.73272	2.7419	8.21256	94.6261s	4.77458e-07	2023-04-10 17:37:48
7	2.73675	2.73326	8.21256	100.246s	5.4631e-08	2023-04-10 17:39:30
8	2.73139	2.7404	7.72947	97.3222s	5.4631e-08	2023-04-10 17:41:09
9	2.73509	2.75074	8.21256	99.5001s	4.77458e-07	2023-04-10 17:42:50
10	2.72918	2.72604	8.69565	98.2591s	1.25e-06	2023-04-10 17:44:30
11	2.73864	2.7392	8.69565	96.5065s	2.23868e-06	2023-04-10 17:46:09
12	2.7221	2.72085	9.17874	95.7282s	3.27254e-06	2023-04-10 17:47:46
13	2.71546	2.71166	8.21256	99.0833s	4.17283e-06	2023-04-10 17:49:29
14	2.6744	2.69994	12.0773	97.3663s	4.78386e-06	2023-04-10 17:51:08
15	2.66245	2.67891	9.66184	98.012s	5e-06	2023-04-10 17:52:49
16	2.62973	2.63569	14.0097	100.028s	4.78386e-06	2023-04-10 17:54:31
17	2.62808	2.62431	14.4928	100.4s	4.17283e-06	2023-04-10 17:56:15
18	2.59898	2.63167	13.5266	98.3929s	3.27254e-06	2023-04-10 17:58:02
19	2.59865	2.60359	14.9758	97.8718s	2.23868e-06	2023-04-10 17:59:42
20	2.57662	2.63384	13.5266	94.8244s	1.25e-06	2023-04-10 18:01:21
21	2.57717	2.62765	13.5266	98.9623s	4.77458e-07	2023-04-10 18:03:02
22	2.56906	2.63659	15.942	96.9371s	5.4631e-08	2023-04-10 18:04:40
23	2.5563	2.58513	13.0435	97.2805s	5.4631e-08	2023-04-10 18:06:21
24	2.56529	2.60901	14.9758	95.9644s	4.77458e-07	2023-04-10 18:07:59
25	2.55081	2.60476	13.5266	94.8588s	1.25e-06	2023-04-10 18:09:35
26	2.57409	2.62615	14.4928	94.508s	2.23868e-06	2023-04-10 18:11:12
27	2.56583	2.6185	15.942	96.9639s	3.27254e-06	2023-04-10 18:12:50
28	2.55687	2.60242	13.5266	100.078s	4.17283e-06	2023-04-10 18:14:32
29	2.54749	2.60441	15.942	96.6028s	4.78386e-06	2023-04-10 18:16:11
30	2.53813	2.6017	12.5604	99.1224s	5e-06	2023-04-10 18:17:51
31	2.51631	2.57372	15.4589	98.1295s	4.78386e-06	2023-04-10 18:19:31
32	2.49761	2.60598	16.9082	97.7816s	4.17283e-06	2023-04-10 18:21:11
33	2.51919	2.59613	15.942	94.0797s	3.27254e-06	2023-04-10 18:22:49
34	2.53516	2.58891	17.8744	98.9403s	2.23868e-06	2023-04-10 18:24:29
35	2.48694	2.56196	17.8744	95.7871s	1.25e-06	2023-04-10 18:26:11
36	2.47305	2.58255	19.3237	98.3211s	4.77458e-07	2023-04-10 18:27:53
37	2.48177	2.56891	14.0097	95.5393s	5.4631e-08	2023-04-10 18:29:32
38	2.49249	2.59582	15.942	97.4975s	5.4631e-08	2023-04-10 18:31:11
39	2.50216	2.6093	14.9758	99.5533s	4.77458e-07	2023-04-10 18:32:52
40	2.49602	2.58071	16.9082	100.408s	1.25e-06	2023-04-10 18:34:35
41	2.48165	2.57584	17.3913	96.8541s	2.23868e-06	2023-04-10 18:36:13
42	2.4931	2.56425	15.4589	101.494s	3.27254e-06	2023-04-10 18:37:56
43	2.48563	2.57423	15.4589	96.9579s	4.17283e-06	2023-04-10 18:39:35
44	2.45292	2.59691	15.4589	94.7773s	4.78386e-06	2023-04-10 18:41:12
45	2.44866	2.57699	14.9758	97.1931s	5e-06	2023-04-10 18:42:51
46	2.46317	2.57012	16.4251	98.595s	4.78386e-06	2023-04-10 18:44:31
47	2.47307	2.56961	19.3237	99.9275s	4.17283e-06	2023-04-10 18:46:13
48	2.45076	2.52741	16.9082	98.5932s	3.27254e-06	2023-04-10 18:47:53
49	2.44617	2.50719	17.3913	97.2695s	2.23868e-06	2023-04-10 18:49:32
50	2.44569	2.54293	19.3237	97.2108s	1.25e-06	2023-04-10 18:51:11
51	2.43309	2.56837	17.3913	95.8055s	4.77458e-07	2023-04-10 18:52:49
52	2.44161	2.58255	18.3575	102.783s	5.4631e-08	2023-04-10 18:54:33
53	2.43906	2.57465	21.7391	95.1423s	5.4631e-08	2023-04-10 18:56:11
54	2.46299	2.54814	17.8744	99.8084s	4.77458e-07	2023-04-10 18:57:59
55	2.43544	2.58652	16.9082	95.7146s	1.25e-06	2023-04-10 18:59:38
56	2.45142	2.54979	19.3237	92.2227s	2.23868e-06	2023-04-10 19:01:12
57	2.44722	2.52507	19.8068	97.728s	3.27254e-06	2023-04-10 19:02:51
58	2.44614	2.50992	16.4251	98.5249s	4.17283e-06	2023-04-10 19:04:32
59	2.40675	2.54963	18.8406	100.418s	4.78386e-06	2023-04-10 19:06:14
60	2.39882	2.54117	15.942	97.7099s	5e-06	2023-04-10 19:07:53
61	2.41186	2.54476	19.3237	97.6934s	4.78386e-06	2023-04-10 19:09:33
62	2.4051	2.56284	16.9082	100.842s	4.17283e-06	2023-04-10 19:11:15
63	2.40974	2.54858	17.3913	99.6517s	3.27254e-06	2023-04-10 19:12:57
64	2.40495	2.52752	18.3575	99.3273s	2.23868e-06	2023-04-10 19:14:38
