Epoch	train_loss	val_loss	metric	epoch_time	learing_rate	time_stamp
1	2.77173	2.72907	9.17874	96.639s	4.78386e-05	2023-04-08 01:27:34
2	2.67024	2.67631	11.5942	93.8363s	4.17283e-05	2023-04-08 01:29:09
3	2.5866	2.62989	9.66184	95.4569s	3.27254e-05	2023-04-08 01:30:48
4	2.53474	2.64644	12.5604	96.7759s	2.23868e-05	2023-04-08 01:32:27
5	2.51963	2.59887	16.9082	97.8747s	1.25e-05	2023-04-08 01:34:08
6	2.47146	2.60783	15.942	95.6156s	4.77458e-06	2023-04-08 01:35:51
7	2.45839	2.60008	17.8744	98.9143s	5.4631e-07	2023-04-08 01:37:32
8	2.48051	2.62139	19.3237	94.7059s	5.4631e-07	2023-04-08 01:39:11
9	2.45082	2.58652	17.3913	97.8552s	4.77458e-06	2023-04-08 01:40:52
10	2.47002	2.58347	16.4251	97.6976s	1.25e-05	2023-04-08 01:42:31
11	2.46666	2.60874	14.0097	97.3789s	2.23868e-05	2023-04-08 01:44:11
12	2.46678	2.52933	16.4251	94.8342s	3.27254e-05	2023-04-08 01:45:47
13	2.4847	2.53809	18.8406	101.103s	4.17283e-05	2023-04-08 01:47:30
14	2.47514	2.53329	16.4251	97.5381s	4.78386e-05	2023-04-08 01:49:09
15	2.43699	2.57197	17.8744	97.858s	5e-05	2023-04-08 01:50:49
16	2.42055	2.52923	17.8744	96.6753s	4.78386e-05	2023-04-08 01:52:27
17	2.40675	2.51175	18.8406	96.1511s	4.17283e-05	2023-04-08 01:54:05
18	2.34082	2.50002	19.8068	97.8198s	3.27254e-05	2023-04-08 01:55:44
19	2.29853	2.41942	23.1884	98.0358s	2.23868e-05	2023-04-08 01:57:26
20	2.24075	2.40562	23.1884	94.4678s	1.25e-05	2023-04-08 01:59:04
21	2.2265	2.40323	23.1884	97.2041s	4.77458e-06	2023-04-08 02:00:43
22	2.18287	2.3942	23.6715	96.6759s	5.4631e-07	2023-04-08 02:02:22
23	2.19609	2.41182	25.1208	99.788s	5.4631e-07	2023-04-08 02:04:06
24	2.17586	2.42502	26.57	97.5196s	4.77458e-06	2023-04-08 02:05:47
25	2.16266	2.42741	24.6377	97.6987s	1.25e-05	2023-04-08 02:07:28
26	2.21203	2.42601	23.1884	99.6523s	2.23868e-05	2023-04-08 02:09:09
27	2.1725	2.3799	23.6715	95.5093s	3.27254e-05	2023-04-08 02:10:47
28	2.23422	2.41693	25.6039	97.6792s	4.17283e-05	2023-04-08 02:12:26
29	2.21703	2.45033	23.6715	96.2364s	4.78386e-05	2023-04-08 02:14:04
30	2.20476	2.43382	23.1884	97.2396s	5e-05	2023-04-08 02:15:43
31	2.19938	2.51937	21.256	97.8887s	4.78386e-05	2023-04-08 02:17:23
32	2.16895	2.38844	24.6377	97.9622s	4.17283e-05	2023-04-08 02:19:02
33	2.11516	2.37442	24.1546	99.7477s	3.27254e-05	2023-04-08 02:20:44
34	2.1104	2.3563	28.5024	98.5784s	2.23868e-05	2023-04-08 02:22:24
35	2.00694	2.33574	25.1208	99.2367s	1.25e-05	2023-04-08 02:24:07
36	2.01027	2.42288	26.57	100.365s	4.77458e-06	2023-04-08 02:25:51
